"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Arrested","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR10041","9. Enforcement Action / Prosecution","United States of America","2017-08-30 00:00:00","California man pleads guilty to to illegally importing 67500 kg (USD3million) of abalone over 3 years from Mexico into US","https://www.nbcsandiego.com/news/local/california-man-pleads-guilty-to-smuggling-3m-of-abalone-from-mexico/23630/","Media","","","","","","","","Conviction","1","1","","","","","","",""
"MOR10050","1. Seizure","United States of America","2017-08-23 00:00:00","1 male Bengal tiger cub seized at Otay Mesa Border Post, coming from Mexico - 1 convicted","http://www.bbc.com/news/world-us-canada-41048250","Media","http://www.sandiegouniontribune.com/news/courts/sd-me-tiger-sentence-20180220-story.html","","Land - Vehicle","Inside Vehicle","","","Routine Inspection","Conviction - imprisonment","1","1","","1","","","","6","Months"
"MOR10072","1. Seizure","Peru","2016-04-22 00:00:00","timber seized from trailer in Lima - 19 arrested in operation","https://news.mongabay.com/2016/04/illegal-logging-mafia-arrested-peru/","Media","http://www.inforegion.pe/221553/actualizacion-arrestan-a-banda-que-comerciaba-madera-ilegal-en-lima-y-ucayali/
https://www.actualidadambiental.pe/ucayali-ordenan-18-meses-de-prision-preventiva-para-implicados-en-trafico-de-madera/","","Land - Vehicle","Other (please specify in Method of Concealment Details field)","","found in trailer","Investigation","Confiscation & arrest","19","","","","","","","",""
"MOR10082","1. Seizure","United States of America","2016-05-11 00:00:00","103 fish bladders seized - Mexico to Portland","http://www.portlandmercury.com/blogtown/2016/06/07/18190296/mexican-shipment-of-endangered-fish-bladders-worth-up-to-10000-each-seized-coming-into-portland","Media","","","","In Postal Parcel (at postal depot or sorting office)","","","","Confiscation","","","","","","","","",""
"MOR10087","9. Enforcement Action / Prosecution","United States of America","2017-09-06 00:00:00","Los Angeles man and his company charged with illegal sale of 2 ivory pieces made from narwhal tusks","http://www.dailynews.com/2017/09/06/la-charges-3-men-in-barbaric-ivory-trade/","Media","https://apnews.com/b230c4804c10497abcd8ec3a8dfbeb92","","","In Premises (either domestic or business)","","Seized from antiques shop. ","","Conviction - court fine","1","1","1","","20000","USD US Dollar","20000","",""
"MOR10088","1. Seizure","United States of America","2017-02-01 00:00:00","10 ivory products seized in Beverley Hills, Los Angeles - 1 charged","http://www.dailynews.com/2017/09/06/la-charges-3-men-in-barbaric-ivory-trade/","Media","","","","In Premises (either domestic or business)","","The ivory and mounted animals were seen on display in the antique shop","","Charged - Pending court case","1","1","","","","","","",""
"MOR10089","1. Seizure","United States of America","2017-09-06 00:00:00","9 ivory sculptures seized in Los Angeles - 1 convicted","http://www.dailynews.com/2017/09/06/la-charges-3-men-in-barbaric-ivory-trade/","Media","https://cdfgnews.wordpress.com/2018/04/04/ivory-sales-lead-to-a-conviction-in-los-angeles-county/","","","On Person","","","","Conviction - imprisonment","1","1","","1","","","","10","Days"
"MOR10093","1. Seizure","Canada","2015-11-01 00:00:00","Coral seized in Ontario - 1 company fined","http://www.newswire.ca/news-releases/ontario-company-ordered-to-pay-25000-for-the-illegal-import-of-coral-642471273.html","Media","","","","","Amongst other goods","Hidden amongst a shipment of tropical fish. The company did not have the required CITES permits. ","Routine Inspection","Conviction - court fine","1","1","1","","25000","CAD Canadian Dollar","19942","",""
"MOR10115","1. Seizure","United States of America","2014-04-01 00:00:00","Smuggling of 1 ivory sculpture from US to HK","https://www.justice.gov/opa/pr/alleged-head-wildlife-smuggling-ring-extradited-australia","Government Agency (Other)","","","","","","Declared the sculpture to be made of wood and worth $50.","","Confiscation","","","","","","","","",""
"MOR10118","9. Enforcement Action / Prosecution","United States of America","2009-03-19 00:00:00","Operation Shellshock discovers reptile smuggling ring, 24 people charged","https://cityroom.blogs.nytimes.com/2009/03/19/reptile-smuggling-ring-is-broken-authorities-say/?_r=1","Blog/Forum","CITES Biennial Report Canada 2009-2010","Ministerie van Economische Zaken","","","","","Operation","Charged - No further details","","20","","","","","","",""
