Corporation name,Address,City,Province/territory,Postal code,Country,Sector or industry,Offense address,Offense city,Offense province/territory,Case summary,Charges,Enforcement notification text,Enforcement notification URL,Result,Date of conviction,Court level,Nature of offense(s),Additional details about the nature of the offense,Legislative details,Date of sentencing,Place of sentencing,Sentence(s),Amount of fine(s),Sentencing details
1240197 Ontario Inc. operating as Lucky Aquarium,4350 Steeles Avenue E.,Markham,Ontario,L3R 9V4,Canada,,"4350 Steeles Ave East Box 142, Market Village",Markham,Ontario,,Not available,"""Operation Serpent"" leads to Fines and Jail Time",http://www.ec.gc.ca/default.asp?lang=En&n=714D9AAE-1&news=7D168E7A-54CB-4942-9878-9A5141205ED2,Guilty Plea,2012-11-14,,Other,,Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act  / Wild Animal and Plant Trade Regulation / 6(2) - 7(2),,"Newmarket, Ontario",Fine,"$75,030","1240197 Ontario Inc., operating as Lucky Aquarium in Markham, pleaded guilty in the Ontario Court of Justice in Newmarket to two charges under the federal Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act (WAPPRIITA) of illegally exporting an invasive species, Snakehead fish (Channidae) to the United States and illegally transporting Snakehead fish from Ontario to Manitoba. Lucky Aquarium also pleaded guilty to four counts under the Ontario Fish and Wildlife Conservation Act, 1997, of illegally selling Snakehead fish.Lucky Aquarium was ordered to pay a total of $75,030 in fines and surcharges with an additional $1,250 to be paid for the publication of notices that warn of the dangers of invasive species, and outline the potential penalties for those who defy the law. Lucky Aquarium was also sentenced to two years of probation."
St. Lawrence Outfitters Inc.,Leeds and the Thousand Islands,Leeds and the Thousand Islands,Ontario,K0E 1L0,Canada,,"MacIntosh Inn, 12495 2 Hwy. E",Morrisburg,,,Not Available,,,Guilty Plea,2012-07-10,,,,"Migratory Birds Convention Act, 1994 / Migratory Birds Regulations / 11(1) - 10(3)",,"Cornwall, ON",Penalty for the EDF,"$5,135",Total penalty $5135.00 - Payment to the Environmental Damages Fund.
Progress Energy Canada Ltd.,"1200, 205 - 5th Avenue S.W.",Calgary,Alberta,T2P 2V7,Canada,,,Fort St. John ,British Columbia,,Not Available,,,Guilty Plea,2015-05-20,,,,"Migratory Birds Convention Act, 1994 /  / 5.1(1)",,Fort St. John,Fine,"$250,000","Progress Energy Canada Ltd. pleaded guilty on May 20, 2015, in Fort St. John, British Columbia Provincial Court, and was ordered to pay a total of $250,000 in penalties for an offence under the Migratory Birds Convention Act, 1994, that occurred on May 3, 2012."
Heng Hing Dry Seafood,"25 Brodie Drive, Unit 6",Richmond Hill,Ontario,L4B 3K7,Canada,,"25 Brodie Drive, Unit 6",Brampton,Ontario,,Not Available,,,Guilty Plea,2012-05-30,,,,Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act  /  / s.6(2),,"Ontario Court of Justice, Brampton, Ontario",Fine|Penalty for the EDF,"$6,250","Heng Hing Trading Ltd., located in Richmond Hill, Ontario, was convicted in the Ontario Court of Justice in Brampton, Ontario, after pleading guilty to one count of unlawful import of plant parts without the required permits. Heng Hing Trading Ltd. (which also operates under the name Heng Hing Dry Seafoods) was fined $5000 plus a victim surcharge fee of $1250 and ordered to forfeit all plant part products."
Domaine Royarnois Inc.,146 chemin du Cap-Tourmente,Saint-Joachim,Quebec,G0A 3X0,Canada,,769 chemin du Cap-Tourmente,Saint-Joachim-de-Montmorency,Quebec,,Not Available,,,Guilty Plea,2010-09-13,,,,Canada Wildlife Act / Wildlife Area Regulations / 3(1)(d),,"Saint-Joachim-de-Montmorency, Que",Fine|Penalty for the EDF,"$7,500","Saint-Joachim-de-Montmorency, Que. -- December 17, 2010 -- Royarnois Inc. pleaded guilty on September 13, 2010 before the Court of Québec to a charge under section 3 (1)(d) of the Wildlife Area Regulations. The company was fined $2,500, and was required to contribute $5,000 to the Environmental Damages Fund"
Nam Bak Enterprises Limited,248 Georgia St. E,Vancouver,British Columbia,V6A 1Z7,Canada,,,Vancouver,British Columbia,,Not Available,Nam Bak Enterprises Limited Sentenced for Illegal Importation of Plant Species,http://www.ec.gc.ca/default.asp?lang=En&n=714D9AAE-1&news=188C32A1-1744-4244-AD2F-EBA8A77C4423,Guilty Plea,2012-10-09,,,,Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act  /  / 6(2),,,Fine|Penalty for the EDF,"$50,000","On October 9, 2012, Nam Bak Enterprises Limited was convicted and fined in British Columbia Provincial court for offences under the Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act (WAPPRIITA). Nam Bak Enterprises received a total penalty of $50,000 for importing without a permit American Ginseng (wild and cultivated), a species listed under the Convention on the International Trade of Endangered Species (CITES). Of that amount, the company must pay a $45,000 fine and $5,000 to the Environmental Damages Fund (EDF). A 2008 inspection of a sea-container in the Port of Vancouver resulted in the detention of $150,000 worth of American Ginseng (9 kg wild and 544 kg cultivated) as well as Gastrodia (a species of orchid). A permit to import these species is required."
J & A Health Food International Ltd.,Unit 2500-3700 No. 3 rd.,Richmond,British Columbia,V6X 3X2,Canada,,,Richmond,British Columbia,,Not Available,J&A Health Food International Ltd. Sentenced for Illegal Importation of Plant Species,http://www.ec.gc.ca/default.asp?lang=En&n=714D9AAE-1&news=F44612BE-CA3C-43BE-82EE-B38A13288DF5,Guilty Plea,2012-09-25,,,,Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act  /  / 6(2),,,"Fine|Other penalty (provincial, charity, etc)|Penalty for the EDF","$45,000","$RICHMOND, B.C. -- September 25, 2012 -- J&A Health Food International Ltd. pleaded guilty and was sentenced in Richmond Provincial court on September 11th on three counts for offences under the Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act (WAPPRIITA). The company received penalties of $45,000 for importing without a permit wild American ginseng roots and orchid species (Dendrobium spp) used in traditional Asian medicines. Both species are listed under the Convention on the International Trade of Endangered Species of Wild Fauna and Flora (CITES). Sentencing included forfeiture of approximately 19 kg of ginseng (wild and cultivated) and approximately 5 kg of orchids. The $45,000 penalties are broken down into a fine of $2,500 for each of the three counts under WAPPRIITA subsection 6(2), $7,500 to be directed to the Environmental Damages Fund, and $30,000 awarded directly to TRAFFIC, a wildlife trade monitoring network which works to ensure that trade in wild plants and animals is not a threat to the conservation of nature."
Five Star Auctions and Appraisals,"63 Silver Star Blvd., Unit C6",Toronto,Ontario,M1V 5E5,Canada,,"63 Silver Star Blvd, Unit C6",Toronto,Ontario,,Not available,Radiocarbon dating of elephant ivory tusks leads to conviction,https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/radiocarbon-dating-elephant-tusks-conviction.html,Guilty Plea,2015-02-27,,,,Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act  / WAPPRIITA - Section(s) / 8(c),,,Fine,"$18,750","On February 27, 2015 Five Star Auctions and Appraisals, and its Director, Mrs. Chun AI JIN pleaded guilty to one count of knowingly possess for the purpose of distribution two elephant ivory tusks. The Director and the company were fined $9,375 each, for a total penalty of $18,750 and ordered to forfeit both tusks."
Carbo Herbal Supplies Inc. ,"4500 Sheppard Avenue, East, Unit 9",Toronto,Ontario,M1S 3R6,Canada,,"4500 Sheppard Avenue, East, Unit 9",Toronto,Ontario,,Not available,Herbal Supply Company fined for smuggling protected species,https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/herbal-supply-company-smuggling-protected-species.html,Guilty Plea,2015-02-27,,,,Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act  / WAPPRIITA - Section(s) / 6(2),,,Fine,"$18,750","Carbo Herbal Supplies Inc., and its Director, Mrs. Qin Zhou, pleaded guilty on February 27, 2015, to six counts under the Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act (WAPPRIITA), for unlawfully importing protected species of turtles and tortoises without the proper permits. The company and its Director were fined $12,500 and $6,250 respectively, for a total penalty of $18,750 and ordered to forfeit all items seized during the investigation."
IEGOR Hôtel des encans de Montréal Inc.,872 Rue du Couvent ,Montréal,Quebec,H4C 2R6,Canada,,,Montreal ,Quebec,,Not available,"Montreal auction house fined $23,500 for environmental violations",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/montreal-auction-house-violations.html,Guilty Plea,2016-02-11,,,,"Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act  / Wild Animal and Plant Trade Regulation / s. 6(2), s. 8b), s. 8(c) , s.1",,,Fine,"$23,500","IEGOR Hôtel des encans de Montréal Inc., an auction house, was fined $23,500 on February 11, 2016, in Montréal Provincial Court, following an investigation by Environment and Climate Change Canada’s (ECCC) Enforcement Branch. The company was ordered to forfeit artifacts after pleading guilty to 12 counts of unlawfully exporting products made from wildlife, and four counts of knowingly possessing controlled wildlife products for the purpose of transporting it from Canada under the Wild Animal and Plant Protection and Regulation of International and Interprovincial Trade Act (WAPPRIITA)."
